city,temperature,humidity,weather,wind_speed,pressure
Kimamba,31.2,53,overcast clouds,3.2,1007
Kilwa Masoko,27.89,72,overcast clouds,4.45,1008
Kilosa,31.43,53,overcast clouds,3.64,1007
Kilindoni,28.44,74,broken clouds,6.29,1007
Kilimatinde,30.29,43,broken clouds,2.73,1006
Kilimanjaro,34.17,31,scattered clouds,5.16,1006
Kijini,28,73,overcast clouds,5.6,1007
Kihurio,33.36,40,broken clouds,3.45,1007
Kigunga,28.86,37,overcast clouds,4.74,1006
Kigoma,23.65,73,light rain,3.76,1009
Kigoma,25.1,70,light rain,2.84,1009
Kidodi,32.69,51,overcast clouds,0.77,1007
Kidatu,32.03,55,overcast clouds,2.72,1008
Kibondo,21.67,76,moderate rain,1.72,1009
Kibiti,32.5,52,overcast clouds,0.3,1007
Kibaya,27.05,41,overcast clouds,3.13,1007
Kibara,24.85,65,overcast clouds,4.64,1007
Kibakwe,28.72,46,overcast clouds,2.62,1007
Kibaha,35.36,36,overcast clouds,4.81,1006
Katumba,25.1,63,light rain,1.68,1010
Katoro,27.55,45,broken clouds,3.91,1007
Katoro,33.66,28,overcast clouds,0.51,1005
Katesh,25.82,43,broken clouds,2.27,1007
Katerero,33.67,28,overcast clouds,0.51,1005
Kasulu,22.28,84,light rain,3.12,1010
Kasamwa,28.14,48,overcast clouds,1.18,1006
Karema,22.2,85,light rain,2.04,1010
Kiratu,20.63,78,moderate rain,0.53,1010
Kandete,23.85,63,light rain,1.46,1011
Kamachumu,31.03,29,overcast clouds,0.53,1005
Kaliua,25.78,63,overcast clouds,3.98,1008
Kakonko,24.47,70,light rain,2.15,1009
Kahama,26.35,58,light rain,3.96,1007
Kabanga,24.59,54,light rain,2.56,1008
Izazi,33.47,39,broken clouds,1.14,1006
Itumba,23.72,71,light rain,1.73,1009
Itigi,27.2,52,broken clouds,1.7,1006
Issenye,32.07,25,overcast clouds,3.65,1003
Isaka,24.57,64,light rain,3.88,1007
Iringa,23.49,65,light rain,2.28,1009
Iringa,24.64,55,overcast clouds,2.42,1008
Ipinda,30.06,69,light rain,2.01,1009
Inyonga,21.56,87,light rain,2.18,1010
Ilula,27.45,49,overcast clouds,1.9,1008
Ilongero,17.85,90,moderate rain,4.98,1009
Ilembula,27.09,47,overcast clouds,2.54,1007
Ilembo,19.93,73,light rain,1.2,1010
Ikwiriri,32.25,54,overcast clouds,3.49,1007
Ikungi,26.93,46,broken clouds,2.32,1007
Ihale,25.13,58,overcast clouds,3.2,1007
Igurusi,26.46,54,overcast clouds,1.3,1008
Igurubi,31.13,38,broken clouds,2.74,1005
Igunga,31.07,38,overcast clouds,2.5,1005
Igugunu,28.2,45,light rain,1.35,1006
Igalula,17.86,97,light rain,1.8,1012
Ifakara,33.19,49,light rain,1.61,1007
Hedaru,34.45,32,overcast clouds,4.65,1005
Geiro,26.99,54,overcast clouds,3.58,1008
Gamba,27.97,73,overcast clouds,5.6,1007
Galappo,29.94,35,broken clouds,2.39,1006
Foraha,31.45,57,broken clouds,3.99,1007
Endasak,27.7,39,broken clouds,4.29,1007
Dunda,27.53,55,light rain,2.29,1008
Dongobesh,24.59,40,overcast clouds,3.18,1006
Dodoma,31.01,38,overcast clouds,2.03,1006
Dodoma,29.55,43,overcast clouds,2.63,1005
Dar es Salaam Region,34.67,42,broken clouds,6,1007
Dar es Salaam,32.29,51,broken clouds,4.62,1007
Dareda,27.05,41,overcast clouds,4.01,1008
Chimala,27.67,52,overcast clouds,1.51,1007
Chato,26.78,45,overcast clouds,2.55,1007
Chanika,32.22,41,overcast clouds,2.85,1006
Chalinze,30.85,56,overcast clouds,1.81,1007
Chala,16.5,94,light rain,1.22,1012
Chake Chake,30.89,60,few clouds,5.01,1007
Butiama,26.42,43,overcast clouds,4.7,1006
Buseresere,27.84,45,broken clouds,3.91,1007
Bungu,32.89,49,overcast clouds,2.96,1007
Bunda,26.8,49,light rain,1.72,1006
Bukonyo,24.29,65,overcast clouds,2.84,1007
Bukoba,31.52,35,overcast clouds,3.67,1006
Bukene,28.79,47,light rain,3.3,1006
Bugene,25.25,42,overcast clouds,2.84,1007
Bugarama,23.62,65,light rain,2.07,1009
Boma la Ngombe,32.57,30,broken clouds,3.55,1005
Biharamulo,25.9,49,overcast clouds,2.82,1007
Basotu,17.46,92,moderate rain,3.17,1010
Bashanet,24.26,40,overcast clouds,3.18,1006
Bariadi,29.94,36,broken clouds,4.4,1005
Bagamoyo,33.62,46,overcast clouds,4.72,1007
Babati,32.16,26,broken clouds,2.42,1004
Arusha,33.31,33,broken clouds,0.32,1006
Arusha,30.15,31,broken clouds,4.86,1007
Balkanabat,11.01,47,clear sky,4.96,1020
Keshi,9.9,57,few clouds,5.14,1023
Kaka,10.07,47,clear sky,2.74,1022
Kizil-Arvat,10.48,52,clear sky,3.55,1021
Gumdag,11.86,42,clear sky,3.95,1020
Bereket,11.64,45,clear sky,2.61,1021
Arçabil,7.15,71,few clouds,0.71,1023
Abadan,9.85,57,few clouds,5.14,1023
Balkan,9.66,47,clear sky,5.01,1021
Baharly,9.76,51,clear sky,3.45,1022
Ahal,9.86,44,clear sky,3.17,1023
Ashgabat,9.82,47,few clouds,2.17,1023
Annau,9.72,57,few clouds,5.14,1023
Yabrūd,5.2,64,overcast clouds,1.61,1014
Wadi Al 'Uyun,11.49,48,broken clouds,0.77,1014
‘Uqayribāt,10.78,49,overcast clouds,3.72,1015
Ţayyibat al Imām,14.56,38,overcast clouds,1.26,1014
Tartus Governorate,12.42,47,overcast clouds,0.68,1014
Tartous,16.86,45,overcast clouds,1.51,1014
Tārīn,14.38,40,overcast clouds,2.81,1013
Tall Tamr,12.37,41,overcast clouds,1.78,1015
Tall Salḩab,14.9,44,overcast clouds,1.43,1014
Tall Rif‘at,12.33,43,overcast clouds,2.97,1015
Tallkalakh,15.79,43,broken clouds,3.08,1014
Tall Ḩamīs,12.9,34,overcast clouds,0.87,1015
Talldaww,14.97,42,overcast clouds,2.6,1014
Tall aḑ Ḑamān,13.47,39,overcast clouds,3.76,1015
Tall Abyaḑ,12.35,46,overcast clouds,2.24,1016
Tallbīsah,13.96,44,overcast clouds,4.48,1014
Ţafas,15.16,43,few clouds,4.45,1013
Palmyra,9.97,63,overcast clouds,3.07,1016
Tādif,11.99,44,overcast clouds,2.87,1016
Syria,8.41,48,overcast clouds,1.91,1015
Souran,14.27,39,overcast clouds,1.14,1014
As Suqaylibīyah,14.92,44,overcast clouds,1.54,1014
Subaykhān,13.79,31,overcast clouds,2.12,1015
Şlinfah,8.87,45,broken clouds,2.78,1014
Şirrīn ash Shamālīyah,11.9,44,overcast clouds,0.88,1016
Sirghāyā,7.9,49,overcast clouds,2.05,1012
Shīn,12.44,40,overcast clouds,2.98,1013
Ash Shaykh Miskīn,14.37,44,scattered clouds,4.78,1013
Shaţḩah,9.7,47,overcast clouds,2.6,1015
Shaqqā,8.27,59,overcast clouds,2.45,1014
Shahbā,10.05,56,broken clouds,2.12,1013
Şaydnāyā,4.98,64,overcast clouds,2.38,1014
Sa‘sa‘,9.92,59,broken clouds,3.02,1014
Sarāqib,13.29,41,overcast clouds,3.85,1015
Sulūk,12.37,43,overcast clouds,1.61,1016
Salqīn,14.04,40,broken clouds,3.49,1015
Şalkhad,7.78,57,light rain,4.79,1013
Salamiyah,13.41,44,overcast clouds,2.44,1014
Şalākhid,10.86,54,broken clouds,2.2,1013
Satita,16.16,42,broken clouds,2.03,1014
Şadad,8.38,64,overcast clouds,2.65,1014
As Sab‘ Biyār,5.37,85,overcast clouds,3.39,1017
Ra’s al ‘Ayn,12.54,41,overcast clouds,1.98,1015
Rankūs,3.67,63,overcast clouds,1.7,1014
Radjun,10.55,47,overcast clouds,1.72,1016
Al Quţaylibīyah,15.72,45,broken clouds,0.68,1014
Qaţanā,9.15,60,overcast clouds,2.12,1014
Qasţal Ma‘āf,14.72,40,scattered clouds,3.14,1014
Jāsim,12.47,49,broken clouds,4.96,1014
Qārah,6.7,57,overcast clouds,1.4,1014
Qal‘at al Maḑīq,14.85,44,overcast clouds,1.88,1015
Nubl,12.71,43,broken clouds,3.47,1015
An Nayrab,12.66,43,overcast clouds,3.89,1015
Nawá,13.85,45,scattered clouds,4.81,1014
Al Muzayri‘ah,13.95,44,broken clouds,3.09,1014
Muraybiţ,12.6,43,broken clouds,2.09,1016
Mukharram al Fawqānī,11.62,52,overcast clouds,4.2,1014
Muḩradah,15.6,37,overcast clouds,0.78,1014
Mazra‘at Muḩammad Aḩmad,10.12,62,overcast clouds,3.12,1016
Mazra‘at Bayt Jinn,8.45,59,broken clouds,0.97,1014
Maşyāf,12.06,49,broken clouds,2.43,1014
Maskanah,12.27,43,broken clouds,2.29,1016
Mashtá al Ḩulw,13.07,44,broken clouds,1.17,1014
Mas‘adah,9.98,54,broken clouds,2.49,1014
Manbij,11.36,46,overcast clouds,1.71,1016
Ma‘lūlā,3.78,65,overcast clouds,1.69,1014
Malaḩ,7.28,59,light rain,3.38,1013
Damascus Governorate,9.98,59,overcast clouds,3.04,1015
Medaya,9.14,52,overcast clouds,1.56,1013
Ma‘arratmişrīn,13.98,39,scattered clouds,4.17,1015
Ma‘arrat an Nu‘mān,12.28,43,overcast clouds,3.12,1015
Kinnsibbā,12.95,43,scattered clouds,2.73,1014
Rabī‘ah,14.01,40,scattered clouds,2.93,1014
Khan Shaykhun,13.98,39,overcast clouds,1.67,1014
Khanāşir,12.97,40,overcast clouds,3.74,1015
Khān Arnabah,10.22,55,broken clouds,1.94,1014
Al Khafsah,12.28,43,overcast clouds,1.72,1016
Kassab,11.33,42,broken clouds,4.98,1014
Kafr Zaytā,14.58,38,overcast clouds,1.08,1014
Kafr Takhārīm,12.6,39,broken clouds,3.68,1015
Kafranbel,11.78,43,overcast clouds,3.02,1015
Kafr Lāhā,15.02,42,overcast clouds,2.58,1014
Judaydat Khābūr,12.58,41,overcast clouds,0.62,1016
Judaydat al Khāşş,10.23,60,overcast clouds,3.36,1015
Jubb al Jarrāḩ,9.78,57,overcast clouds,4.17,1015
Jisr ash Shughūr,12.93,45,broken clouds,3.66,1015
Jayrūd,8.41,63,overcast clouds,2.2,1015
Tchoban Bey,11.29,48,broken clouds,2.56,1016
Jarābulus,11.58,47,overcast clouds,1.4,1016
Jindayris,14.4,41,broken clouds,3.14,1015
Jablah,16.71,43,broken clouds,0.59,1014
Izra‘,13.78,45,broken clouds,4.44,1013
Irbin,9.79,61,overcast clouds,3.03,1015
Inkhil,12.19,50,broken clouds,5.1,1014
Idlib Governorate,12.09,43,broken clouds,4.05,1015
Idlib,13.11,41,broken clouds,4.22,1015
Ḩumaymīm,16.7,42,broken clouds,1.52,1014
Hisya,11.21,49,overcast clouds,1.38,1013
Homs Governorate,7.73,71,overcast clouds,3.77,1016
Homs,13.64,44,overcast clouds,3.82,1014
Ḩarrān al ‘Awāmīd,10.12,60,overcast clouds,3.3,1015
Ḩuraytān,12.79,43,broken clouds,3.87,1015
Ḩārim,15.42,40,broken clouds,3.32,1015
Ḩarastā,9.72,61,overcast clouds,2.92,1015
Hama Governorate,12.77,44,overcast clouds,2.93,1014
Hama,14.82,40,overcast clouds,2.19,1014
Ḩalkū,13.11,31,overcast clouds,1.09,1014
Ḩalfāyā,15.14,37,overcast clouds,0.88,1014
Aleppo Governorate,12.33,43,overcast clouds,3.16,1016
Aleppo,12.86,43,broken clouds,4.01,1015
Ḩadīdah,16.07,40,broken clouds,3.57,1013
Al Furqlus,10.16,59,overcast clouds,5.67,1015
Fīq,16.62,36,clear sky,3.03,1013
Ad Duraykīsh,14.97,44,broken clouds,0.87,1014
Aḑ Ḑumayr,9.45,62,overcast clouds,2.69,1015
Douma,9.95,62,overcast clouds,2.93,1015
Rif-dimashq Governorate,7.05,71,overcast clouds,2.92,1016
Damascus,9.98,59,overcast clouds,3.04,1015
Dhībān,13.85,32,overcast clouds,2.66,1015
Dayr Ḩāfir,12.6,43,overcast clouds,2.84,1016
Deir ez-Zor Governorate,12.86,34,overcast clouds,2.58,1015
Dayr az Zawr,13.33,35,overcast clouds,2.06,1015
Dayr ‘Aţīyah,6.59,62,overcast clouds,1.35,1014
Darkūsh,14.09,42,scattered clouds,4.28,1015
Ad Darbāsīyah,13.22,41,clear sky,2.06,1015
Dārayyā,10.06,59,overcast clouds,3.13,1015
Daraa Governorate,12.67,49,broken clouds,5.24,1014
Dar‘ā,15.07,44,few clouds,3.85,1013
Bosra,11.61,52,broken clouds,3.4,1013
Bulbul,8.28,49,overcast clouds,1.39,1016
Binnish,13.75,40,broken clouds,4.15,1015
Bdāmā,12.93,44,broken clouds,3.42,1014
Bāniyās,16.83,44,broken clouds,1.9,1014
Az Ziyārah,14.55,46,broken clouds,3.01,1015
Az Zarbah,14.1,39,broken clouds,4.06,1015
Az Zabadānī,8.63,51,overcast clouds,1.86,1013
Azaz,11.3,45,overcast clouds,2.36,1015
‘Ayn ‘Īsá,12.32,42,overcast clouds,1.36,1016
‘Ayn ash Sharqīyah,13.6,48,overcast clouds,0.87,1014
‘Ayn al Fījah,8.09,57,overcast clouds,1.39,1014
‘Ayn al Bayḑā,16.54,38,scattered clouds,2.46,1014
‘Ayn al ‘Arab,10.76,48,overcast clouds,1.07,1016
At Tall,8.07,60,overcast clouds,2.46,1014
Ath Thawrah,12.24,43,overcast clouds,1.42,1016
As-Suwayda,10.2,53,broken clouds,5.08,1013
As-Suwayda Governorate,5.66,62,overcast clouds,2.82,1013
As Sukhnah,9.82,48,overcast clouds,1.6,1016
Al Mazra‘ah,11.95,49,broken clouds,3.18,1013
As Sawdā,15.6,43,overcast clouds,1.76,1014
Aş Şanamayn,12.08,52,broken clouds,5.39,1014
‘Assāl al Ward,4.49,61,overcast clouds,0.22,1014
Aş Şafşāfah,17.12,40,broken clouds,2.9,1014
As Safīrah,12.88,43,overcast clouds,3.63,1015
As Sabkhah,12.02,42,overcast clouds,0.81,1016
As Si‘in,13.29,40,overcast clouds,2.61,1014
Ash Shaykh Badr,14.48,45,overcast clouds,1.22,1014
Ash Shajarah,16.04,39,clear sky,3.82,1013
Ash Shaddādah,13.08,38,overcast clouds,3.53,1015
Arwād,16.64,46,overcast clouds,1.46,1014
Ar Ruḩaybah,7.91,63,overcast clouds,2.43,1015
Ar Rastan,14.11,43,overcast clouds,4.31,1014
Rakka,12.76,41,overcast clouds,0.77,1016
Ar-Raqqah Governorate,12.67,41,overcast clouds,0.71,1016
Arīḩā,12.02,43,broken clouds,4.07,1015
Al-Nashabiyah,10.1,61,overcast clouds,3.13,1015
An Nabk,6.09,64,overcast clouds,1.87,1014
Amude,13.29,33,overcast clouds,1.76,1015
Al Quţayfah,7.87,64,overcast clouds,2.59,1015
Al Quşayr,14.22,38,overcast clouds,3.13,1013
Al Qurayyā,9.9,55,light rain,5.02,1013
Al Qunayţirah,12.65,52,broken clouds,2.53,1014
Quneitra Governorate,13.49,45,scattered clouds,4.03,1013
Al Qaryatayn,9.31,60,overcast clouds,3.63,1015
Al Qardāḩah,14.66,45,broken clouds,2.44,1014
Al-Qamishli,12.96,32,overcast clouds,0.97,1014
Al Qadmūs,10.89,49,overcast clouds,0.7,1014
Al Mushannaf,5.68,62,overcast clouds,3.34,1013
Mismīyah,11.59,55,broken clouds,6.02,1014
Al Mayādīn,13.75,32,overcast clouds,2.81,1015
Al Mālikīyah,14.9,31,overcast clouds,1.87,1014
Al Buţayḩah,19.92,42,clear sky,2.06,1013
Latakia,16.8,38,scattered clouds,2.17,1014
Latakia Governorate,11.58,46,broken clouds,2.88,1014
Al Kiswah,10.2,59,overcast clouds,3.34,1015
Al Khushnīyah,13.79,45,scattered clouds,3.81,1013
Al Jawādīyah,13.17,32,overcast clouds,2.02,1014
Al Ḩasakah,12.95,35,overcast clouds,1.49,1015
Al-Hasakah Governorate,12.46,35,overcast clouds,0.98,1015
Al Ḩarāk,13.96,44,broken clouds,3.73,1013
Al Ḩamīdīyah,17.6,42,overcast clouds,3.31,1014
Al Ḩaffah,15.65,41,scattered clouds,2.98,1014
Al Ghizlānīyah,10.22,60,overcast clouds,3.4,1015
Al Buşayrah,13.78,33,overcast clouds,2.52,1015
Al Bāb,11.87,44,overcast clouds,2.94,1016
Al ‘Ashārah,13.76,31,overcast clouds,2.4,1015
Al ‘Annāzah,12.86,47,overcast clouds,0.52,1014
Akhtarīn,12.15,44,broken clouds,2.92,1015
Iḩsim,10.61,43,overcast clouds,3.68,1015
Afrin,13.77,43,overcast clouds,2.59,1015
Ad Dīmās,8.75,57,overcast clouds,1,1014
Ad Dānā,12.95,42,scattered clouds,4.13,1015
Ālbū Kamāl,11.78,39,overcast clouds,1.5,1016
Abū Hurayrah,12.25,43,overcast clouds,1.81,1016
Hajīn,13.71,30,overcast clouds,1.39,1015
Abū az̧ Z̧uhūr,14.13,38,overcast clouds,3.14,1015
Zarrit’ap’,1.22,52,overcast clouds,1.03,1018
Zangakatun,-0.51,50,overcast clouds,2.07,1019
Goravan,4.14,37,overcast clouds,2.48,1020
Yeghegnavan,4.74,36,overcast clouds,2.51,1020
Yeghegnadzor,4,41,broken clouds,1.08,1018
Vostan,5.1,37,overcast clouds,1.56,1020
Vosketap’,4.72,36,overcast clouds,2.42,1020
Vernashen,2.43,42,broken clouds,0.97,1018
Verishen,0.94,52,overcast clouds,0.89,1015
Vedi,4.52,36,overcast clouds,2.46,1020
Vayk’,2.7,45,overcast clouds,0.98,1018
Tegh,4.12,47,overcast clouds,2.12,1015
Surenavan,5.19,36,overcast clouds,2.36,1020
Sisavan,4.59,36,overcast clouds,2.39,1020
Shinuhayr,5.2,56,overcast clouds,0.69,1015
Shahumyan,5.18,38,overcast clouds,1.74,1020
Shatin,1.78,51,broken clouds,1.21,1018
Shaghat,-0.45,65,overcast clouds,1.9,1017
Rrind,3.19,45,overcast clouds,1.63,1018
Noyakert,4.82,35,overcast clouds,2.57,1020
Nerk’in Kamarlu,5.17,37,overcast clouds,1.56,1020
Mrgavan,5.1,37,overcast clouds,1.46,1020
Meghri,5.99,36,overcast clouds,2.54,1017
Malishka,2.69,40,broken clouds,0.98,1018
Khndzoresk,3.51,49,overcast clouds,1.91,1015
Kapan,7.78,52,overcast clouds,1.79,1016
Jermuk,-3.21,63,overcast clouds,0.73,1017
Goris,3.09,53,overcast clouds,0.78,1015
Gladzor,2.43,42,broken clouds,0.97,1018
Getap’,4,41,broken clouds,1.08,1018
Dzorastan,6.79,55,overcast clouds,1.92,1015
Dalar,5.1,36,overcast clouds,1.32,1020
Burastan,5.12,36,overcast clouds,1.32,1020
Akner,0.75,53,overcast clouds,0.79,1015
Brrnakot’,1.55,60,overcast clouds,2.05,1016
Berk’anush,5.11,36,overcast clouds,1.32,1020
Aygezard,4.84,37,overcast clouds,1.7,1020
Aygepat,4.83,37,overcast clouds,1.7,1020
Aygavan,4.71,35,overcast clouds,2.51,1020
Avshar,4.82,35,overcast clouds,2.57,1020
Hats’avan,1.77,61,overcast clouds,2,1016
Artashat,5.12,37,overcast clouds,1.56,1020
Yeghegis,1.27,54,broken clouds,0.97,1017
Armenia,-4.36,70,broken clouds,1.29,1019
Armash,5.18,37,overcast clouds,2.31,1020
Areni,4.21,44,overcast clouds,1.65,1018
Ararat,4.89,35,overcast clouds,2.62,1020
Angeghakot’,0.24,61,overcast clouds,1.97,1016
Aghavnadzor,1.54,46,overcast clouds,1.51,1018
Agarakadzor,3.74,41,overcast clouds,1.08,1018
Agarak,5.43,44,overcast clouds,1.21,1016
Nchelenge,21.09,85,moderate rain,5.96,1011
Nakonde,23,64,light rain,1.68,1009
Mpulungu,23.62,78,light rain,2.43,1011
Mporokoso,17.1,98,light rain,2.46,1012
Mbala,18.51,79,overcast clouds,2.6,1011
Kawambwa,16.94,99,moderate rain,3.39,1012
Kaputa,20.18,97,light rain,2.01,1013
Kambwali,20.94,85,moderate rain,5.96,1011
Yala,31.18,27,scattered clouds,7.67,1003
Wundanyi,26.67,42,clear sky,5.22,1008
Wote,31.51,32,clear sky,4.77,1007
Witu,37.46,32,broken clouds,5.7,1005
Webuye,34.63,12,few clouds,1.55,1003
Wajir,36.04,25,scattered clouds,4.93,1006
Voi,31.98,41,clear sky,3.84,1007
Timau,24.58,28,clear sky,7.99,1008
Thika,30.71,25,clear sky,5.75,1006
Taveta,27.75,63,light rain,2.65,1010
Takaungu,32.84,50,scattered clouds,6.83,1007
Sotik,30.23,19,scattered clouds,3.04,1003
Shimoni,33.75,47,scattered clouds,7.95,1006
Sawa Sawa,35.27,43,scattered clouds,7.26,1006
Sagana,27.76,42,few clouds,4.8,1008
Rumuruti,27.58,24,clear sky,6.62,1008
Rongai,28.55,21,few clouds,4.55,1008
Rambara,32.22,30,scattered clouds,6.91,1004
Poka,32.37,28,clear sky,6.4,1006
Parklands,29.03,25,few clouds,5.73,1007
Oyugis,26.61,44,clear sky,7.86,1004
Othaya,26.63,34,few clouds,4.64,1010
Old Mombasa,33.05,49,scattered clouds,6.81,1007
Ogembo,30.61,23,broken clouds,4.36,1003
Nyeri,27.27,29,few clouds,5.37,1009
Nyanza Province,28.15,44,clear sky,7.86,1004
Nyahururu,25.78,19,clear sky,7,1007
Ngong,28.86,22,few clouds,6.18,1005
Nginda,38.14,30,scattered clouds,5.11,1005
Naro Moru,25.71,27,few clouds,6.06,1007
Narok,31.01,16,broken clouds,3.58,1004
Nanyuki,26.33,28,clear sky,7.99,1008
Nandi Hills,30.43,13,broken clouds,2.2,1004
Nambare,35.02,18,scattered clouds,5.26,1002
Namanga,30.96,30,few clouds,4.4,1006
Nakuru,30.07,17,few clouds,6.67,1005
Naivasha,30.19,15,few clouds,5.68,1005
Nairobi South,29.37,25,few clouds,5.73,1007
Nairobi,29.43,25,few clouds,5.73,1007
Nairobi,29.26,25,few clouds,5.73,1007
Mwingi,31.96,30,clear sky,4.78,1006
Murang’a,26.8,42,few clouds,4.8,1008
Mumias,34.21,18,scattered clouds,5.26,1002
Muhoroni,33.81,18,scattered clouds,3.78,1003
Mtito Andei,32.53,36,clear sky,4.77,1007
Moyale,32.56,22,few clouds,5.46,1007
Mombasa,33.05,49,scattered clouds,6.81,1007
Molo,24.85,20,clear sky,4.03,1008
Miti ya Hunter,29.69,13,scattered clouds,5.89,1004
Migori,28.33,41,broken clouds,6.09,1006
Meru,27.99,31,clear sky,7.14,1008
Maua,28.44,32,clear sky,3.12,1007
Marsabit,30.42,24,clear sky,7.29,1005
Mariakani,36.33,32,few clouds,3.12,1006
Maralal,28.79,18,clear sky,4.01,1005
Maragua,31.54,26,clear sky,6.38,1006
Mandera,36.46,20,overcast clouds,3.7,1005
Malindi,33.8,44,few clouds,7.81,1006
Malikisi,33.99,19,few clouds,8.43,1003
Malanga,30.26,31,scattered clouds,6.93,1004
Malaba,35.25,19,few clouds,8.43,1003
Makueni Boma,30.84,32,clear sky,4.77,1007
Makinyambu,26.93,42,clear sky,5.22,1008
Magadi,38.37,20,clear sky,3.58,1002
Machakos,28.67,30,clear sky,5.32,1007
Kipkelion,31.35,14,scattered clouds,1.35,1003
Lugulu,34.48,18,scattered clouds,5.26,1002
Luanda,31.75,28,scattered clouds,5.59,1003
Londiani,25.98,20,clear sky,4.03,1008
Lodwar,37.64,20,scattered clouds,7.25,1003
Litein,29.41,19,scattered clouds,3.04,1003
Limuru,24.8,49,scattered clouds,2.44,1006
Lemek,31.33,16,broken clouds,2.24,1003
Lamu,32.32,48,scattered clouds,6.64,1007
Lake View Estate,30.43,17,few clouds,6.67,1005
Kwale,34.53,35,few clouds,5.23,1005
Kwa Jomvu,32.78,49,scattered clouds,6.81,1007
Konza,29.39,25,clear sky,7.02,1006
Kitui,29.77,37,clear sky,5.44,1007
Kitale,29.5,17,few clouds,4.43,1005
Kisumu,32.22,26,scattered clouds,6.62,1004
Kisii,31.43,19,clear sky,4.47,1003
Kipini,29.95,60,few clouds,8.29,1007
Kinango,35.91,35,few clouds,5.23,1005
Kihancha,28.23,36,broken clouds,6.09,1005
Kilifi,32.78,50,scattered clouds,6.83,1007
Kikuyu,25.72,28,scattered clouds,2.44,1006
Kijabe,26.34,49,scattered clouds,3,1008
Kiganjo,24.55,38,scattered clouds,3.44,1008
Kiambu,28.64,28,few clouds,5.4,1007
Kerugoya,22.58,67,light rain,0.78,1014
Keroka,24.29,31,broken clouds,1.98,1005
Kericho,30.92,14,few clouds,2.25,1003
Kenya,32.73,31,clear sky,6.2,1006
Karuri,27.71,42,few clouds,4.8,1008
Kapsuset,31.28,16,few clouds,5.1,1001
Kapsabet,30.68,13,broken clouds,2.2,1004
Kangundo,29.32,28,clear sky,5.72,1007
Kangema,26.99,34,few clouds,4.64,1010
Kamweri Forest Station,16.95,67,light rain,0.78,1014
Kakamega,34.49,11,scattered clouds,2.82,1002
Kajiado,28.87,26,few clouds,6.22,1006
Kabarnet,28.03,19,clear sky,4.41,1007
Isiolo,31.66,27,clear sky,8.58,1006
Homa Lime Kowuor,27.42,53,few clouds,8.24,1005
Homa Bay,30.58,39,few clouds,6.71,1005
Gicheru,29.42,28,scattered clouds,2.44,1006
Gazi,32.21,53,scattered clouds,7.06,1007
Garissa,36.71,28,clear sky,3.62,1005
Embakasi,29.66,25,few clouds,5.73,1007
Embu,24.07,50,light rain,2.53,1008
Eldoret,28.27,17,few clouds,7.96,1006
Eldama Ravine,26.7,21,clear sky,4.32,1008
Chuka,26.21,52,light rain,2.86,1011
Chepareria,32.4,14,clear sky,6.39,1003
Butere,30.25,31,scattered clouds,6.93,1004
Burji,32.67,22,few clouds,5.46,1007
Port Victoria,28.36,45,scattered clouds,7.56,1005
Bungoma,32.43,21,scattered clouds,7.05,1004
Bondo,31.03,31,scattered clouds,6.93,1004
Sotik Post,30.83,15,scattered clouds,2.18,1003
Baringo,35.86,17,clear sky,1.69,1005
Athi River,30.34,25,few clouds,5.73,1007
Ahero,32.31,26,scattered clouds,6.62,1004
Rwamagana,26.14,51,light rain,1.06,1009
Ruhengeri,16.36,81,light rain,3.54,1010
Nzega,17.69,84,moderate rain,1,1011
Kigali,24.85,50,light rain,7.2,1010
Kibuye,22.57,61,light rain,2.48,1009
Kibungo,24.79,54,light rain,0.21,1008
Gitarama,18.82,81,light rain,0.73,1010
Gikongoro,18.57,84,moderate rain,1,1011
Cyangugu,21.56,80,moderate rain,0.37,1011
Gisenyi,20.61,88,moderate rain,1.56,1011
Byumba,20.06,61,light rain,2.18,1009
Butare,20.37,80,moderate rain,1.82,1011
Butare,20.48,80,moderate rain,1.82,1011
DR Congo,32.17,41,overcast clouds,2.21,1006
Yangambi,33.71,39,overcast clouds,1.24,1006
Watsa,32.47,30,broken clouds,2.55,1005
Wamba,34.77,31,broken clouds,0.89,1005
Uvira,26.86,82,moderate rain,1.68,1013
Ukungu,26.3,65,overcast clouds,1.86,1009
Tshilundu,20.78,95,light rain,1.09,1011
Tshikapa,24.93,75,overcast clouds,1.45,1010
Tambo,20.57,96,light rain,0.79,1012
South Kivu Province,24.41,79,light rain,1.6,1009
Katanga Province,21.31,97,light rain,1.27,1011
Sewe,23.6,77,overcast clouds,0.92,1011
Salukwango,26.83,62,overcast clouds,1.6,1008
Sake,19.83,92,light rain,0.79,1011
Pekia,37.59,28,broken clouds,1.58,1004
Nord Kivu,24.25,43,broken clouds,2.53,1007
Mwene-Ditu,19.46,94,light rain,1.22,1012
Mweka,23.27,74,overcast clouds,1.76,1010
Moni,26.36,73,light rain,2.55,1009
Mokumbano,37.28,30,overcast clouds,0.38,1006
Mbuji-Mayi,21.43,92,light rain,0.89,1011
Manono,21.16,94,overcast clouds,1.17,1011
Maniema Province,29.69,51,overcast clouds,2.17,1008
Lusambo,22.63,87,overcast clouds,1.76,1010
Luebo,23.48,81,overcast clouds,1.03,1010
Lubao,22.2,87,overcast clouds,2.52,1010
